模板匹配度,Y坐标,X坐标,Flag
0.914448440074921,432.745834434687,1275.73972682728,False
0.952679038047791,439.162619892373,1284.57317146654,False
0.959407091140747,438.800875401063,1283.01869888825,False
0.273532509803772,1060.85820842682,1614.59894660167,False
0.964361071586609,431.053390827873,1282.01472705081,False
0.973440766334534,433.608530630835,1274.07847319277,False
0.968038737773895,441.927444306409,1278.10659582417,False
0.960845708847046,430.620582343006,1276.80818673206,False
0.915207922458649,432.822264154259,1273.73942879403,False
0.97216784954071,431.422623854208,1279.16284385141,False
0.959454238414764,433.031190039671,1275.65178513528,False
0.913377404212952,429.034500915642,1280.64223536796,False
0.920275688171387,425.013628845415,1287.24031762746,False
0.896675169467926,430.285925650818,1283.26334504482,False
0.912505149841309,435.095059049947,1284.98590079215,False
0.917715728282928,437.221092959014,1279.17864469031,False
0.906755387783051,432.250896956886,1279.60377896143,False
0.918322324752808,433.907649046963,1281.19956975938,False
0.915946841239929,431.095676673276,1277.51892229465,False
0.94583785533905,434.534861204856,1279.41508264466,False
0.936114251613617,426.704805375288,1277.08679147356,False
0.929023683071136,430.4232350768,1282.42106396094,False
0.914178252220154,432.943920609311,1278.52897565918,False
0.889460921287537,441.090377274919,1283.66461211734,False
0.898242294788361,431.299813360204,1283.2604249219,False
